grade,gender,number_of_ccas,parental_controls,most_used_platform
Grade 7,Female,3,Yes,Instagram
Grade 9,Female,1,Yes,Instagram
Grade 7,Male,4,Yes,Youtube
Grade 6,Toad,3,No,Youtube
Grade 6,Male,1,No,Youtube
Grade 11,Female,0,No,Instagram
Grade 8,Female,1,No,Discord
Grade 10,Male,1,No,Discord
Grade 10,Female,2,No,Discord
Grade 9,Female,2,No,Discord
Grade 10,Female,0,No,Discord
Grade 9,Female,0,No,Discord
Grade 10,Female,0,Yes,Instagram
Grade 10,Male,0,No,Discord
Grade 10,Female,0,No,Youtube
Grade 7,Male,4,Yes,Other
Grade 10,Female,1,No,Instagram
Grade 9,Male,3,Yes,Discord
Grade 7,Female,3,No,Discord
Grade 8,Male,2,Yes,Discord
Grade 8,Male,3,Yes,Discord
Grade 8,Male,0,Yes,Youtube
Grade 11,Male,4,Yes,Youtube
Grade 10,Female,5,No,Instagram
Grade 10,Non-binary,3,No,Discord
Grade 10,Female,1,No,Instagram
Grade 6,Male,1,Yes,Youtube
Grade 6,Male,4,No,Youtube
Grade 6,Male,4,No,Youtube
Grade 8,Male,2,No,Other
Grade 11,Female,2,No,Discord
Grade 9,Female,0,No,Youtube
Grade 8,,1,No,Instagram
Grade 11,Male,1,No,Youtube
Grade 6,Female,1,Yes,Other
Grade 11,Female,3,No,Discord
Grade 12,Female,0,No,Youtube
Grade 6,Female,2,Yes,Youtube
Grade 9,Male,1,No,Youtube
Grade 9,Male,1,No,Discord
Grade 7,Female,4,No,Other
Grade 12,Female,1,No,Other
Grade 6,Male,,Yes,None
Grade 11,Female,2,No,Instagram
Grade 11,Female,2,No,Instagram
Grade 11,Female,4,No,Instagram
Grade 10,Female,4,No,Instagram
Grade 7,Female,1,Yes,Instagram
Grade 8,Male,2,Yes,Discord
Grade 9,Male,1,No,Other
Grade 8,Female,2,No,Instagram
Grade 6,Male,1,Yes,Discord
Grade 7,Male,3,No,Youtube
Grade 7,Non-binary,0,No,Discord
Grade 8,Female,2,Yes,Instagram
Grade 12,Female,0,No,Instagram
Grade 7,Male,2,Yes,Discord
Grade 10,Male,3,No,Youtube
Grade 7,Female,4,Yes,Youtube
Grade 8,Male,0,No,Youtube
Grade 6,Female,0,Yes,Instagram
Grade 6,Female,1,Yes,Youtube
Grade 7,Male,1,Yes,Discord
Grade 8,Female,3,Yes,Instagram
Grade 8,Female,2,No,Instagram
Grade 9,Female,0,No,Instagram
